epoch,train_loss_total,train_mpjpe_mm,train_vel,train_bone,train_log10_drift,eval_mpjpe_mm,best_mpjpe_mm,lr,elapsed_sec,is_best
0,-0.031479,84.545175,0.012042,0.019459,5.365421,64.738925,64.738925,0.000099,14550.332062,1
1,-0.212269,69.100485,0.005198,0.015481,5.363937,63.032007,63.032007,0.000098,14005.713557,1
epoch,train_loss_total,train_mpjpe_mm,train_vel,train_bone,train_log10_drift,eval_mpjpe_mm,best_mpjpe_mm,lr,elapsed_sec,is_best
1,-0.211763,69.467238,0.005231,0.015580,5.363897,63.391338,63.391338,0.000098,7006.586561,1
2,-0.373389,65.911451,0.004610,0.014879,5.362576,61.452767,61.452767,0.000097,6928.212873,1
3,-0.528734,63.096072,0.004361,0.014516,5.363675,61.028030,61.028030,0.000096,7033.941871,1
4,-0.681627,58.556942,0.004061,0.014168,5.368220,60.890748,60.890748,0.000095,6726.448092,1
5,-0.827812,54.242215,0.003945,0.013531,5.370208,56.469781,56.469781,0.000094,6184.656012,1
6,-0.970070,52.520800,0.003798,0.013156,5.371366,56.164508,56.164508,0.000093,6180.649273,1
7,-1.107361,51.270416,0.003703,0.012807,5.372056,58.739077,56.164508,0.000092,6266.485826,0
8,-1.242181,50.192047,0.003682,0.012621,5.373024,56.625612,56.164508,0.000091,6617.037475,0
9,-1.373943,49.300210,0.003679,0.012530,5.373903,55.461814,55.461814,0.000090,6720.432771,1
10,-1.500699,49.178642,0.003802,0.012727,5.374363,54.090543,54.090543,0.000090,6670.902570,1
11,-1.628692,47.798187,0.003755,0.012388,5.374619,53.803824,53.803824,0.000089,7596.293542,1
12,-1.753401,47.067178,0.003781,0.012215,5.372048,52.366937,52.366937,0.000088,7054.306834,1
13,-1.875726,45.927641,0.003706,0.011947,5.364725,52.124258,52.124258,0.000087,7005.553460,1
14,-1.993991,45.496506,0.003680,0.011841,5.358209,53.461643,52.124258,0.000086,7272.946548,0
15,-2.108384,45.416451,0.003721,0.011820,5.353001,52.767317,52.124258,0.000085,7166.625669,0
16,-2.221639,44.825343,0.003664,0.011688,5.348307,55.081708,52.124258,0.000084,6523.733396,0
17,-2.334623,43.799655,0.003618,0.011456,5.343761,50.933882,50.933882,0.000083,6491.410661,1
18,-2.441343,43.953878,0.003638,0.011459,5.339052,52.808649,50.933882,0.000083,8667.981891,0
19,-2.546741,43.275925,0.003584,0.011325,5.335569,49.875785,49.875785,0.000082,8697.732139,1
20,-2.652706,42.853428,0.003598,0.011220,5.332836,51.098881,49.875785,0.000081,12868.726880,0
21,-2.757620,42.134375,0.003558,0.011097,5.330705,53.877813,49.875785,0.000080,6258.224796,0
22,-2.857107,42.127853,0.003579,0.011060,5.328576,51.428007,49.875785,0.000079,6167.545586,0
23,-2.951071,42.290937,0.003577,0.011025,5.327123,50.671158,49.875785,0.000079,6259.411216,0
24,-3.048860,41.133813,0.003505,0.010777,5.326232,50.535564,49.875785,0.000078,6113.290015,0
25,-3.143552,40.868425,0.003489,0.010725,5.324862,51.914257,49.875785,0.000077,6298.919732,0
26,-3.233434,40.928810,0.003546,0.010675,5.323931,54.806931,49.875785,0.000076,12506.373463,0
27,-3.326453,40.324933,0.003535,0.010597,5.322935,49.946377,49.875785,0.000075,6636.642603,0
28,-3.415262,39.873554,0.003543,0.010492,5.322750,49.805694,49.805694,0.000075,6175.558882,1
29,-3.488079,40.704110,0.003666,0.010658,5.322073,49.729138,49.729138,0.000074,6733.143571,1
30,-3.576927,39.622084,0.003522,0.010362,5.321744,49.795788,49.729138,0.000073,6993.539287,0
31,-3.662627,38.969294,0.003517,0.010262,5.321351,49.749331,49.729138,0.000072,7551.490177,0
32,-3.739969,38.800398,0.003506,0.010166,5.320993,49.438632,49.438632,0.000072,8134.571611,1
33,-3.810857,38.737088,0.003516,0.010115,5.320872,49.282649,49.282649,0.000071,6347.504456,1
34,-3.886633,38.248652,0.003497,0.010004,5.320388,49.476479,49.282649,0.000070,6426.689220,0
35,-3.957798,37.939576,0.003486,0.009922,5.320445,49.487168,49.282649,0.000070,6423.465672,0
36,-4.024452,37.821587,0.003502,0.009838,5.320127,50.031338,49.282649,0.000069,6233.521443,0
37,-4.089797,37.697014,0.003498,0.009884,5.319910,49.303796,49.282649,0.000068,6372.887533,0
38,-4.155540,37.357153,0.003504,0.009774,5.319829,48.310503,48.310503,0.000068,7295.764152,1
39,-4.223485,36.754308,0.003432,0.009601,5.319787,48.076530,48.076530,0.000067,6452.479003,1
40,-4.280064,36.753499,0.003414,0.009532,5.319830,49.439331,48.076530,0.000066,7020.415007,0
41,-4.333169,36.777269,0.003424,0.009525,5.319744,49.550213,48.076530,0.000066,6284.221567,0
42,-4.399384,36.045002,0.003378,0.009398,5.319690,49.123456,48.076530,0.000065,6184.399080,0
43,-4.448389,36.216609,0.003375,0.009340,5.319792,47.937640,47.937640,0.000064,6193.462021,1
44,-4.506105,35.741494,0.003356,0.009211,5.319878,49.797434,47.937640,0.000064,6211.910319,0
45,-4.561279,35.452656,0.003315,0.009107,5.319849,48.786077,47.937640,0.000063,6194.624308,0
46,-4.606865,35.574339,0.003332,0.009070,5.320060,49.792294,47.937640,0.000062,6566.378767,0
47,-4.655359,35.510518,0.003299,0.008985,5.320070,47.704182,47.704182,0.000062,6343.507888,1
48,-4.713307,34.867802,0.003247,0.008841,5.320432,47.849306,47.704182,0.000061,6329.917368,0
49,-4.753200,35.168290,0.003223,0.008806,5.320436,49.020262,47.704182,0.000061,6251.341564,0
50,-4.803153,34.819666,0.003192,0.008701,5.320669,47.698123,47.698123,0.000060,6179.349335,1
51,-4.848931,34.806405,0.003156,0.008597,5.320794,48.359201,47.698123,0.000059,6377.567272,0
